id;name;description;price;size;image;image_content_type;stars
1;Generic Steel Tuna;website calculating;57374;M;../fake-data/blob/hipster.png;image/png;4
2;Computer reboot reboot;magenta Track;62989;XXL;../fake-data/blob/hipster.png;image/png;2
3;Steel;Kina networks;40879;L;../fake-data/blob/hipster.png;image/png;5
4;compressing New Zealand initiative;Generic Metal Hat;18327;S;../fake-data/blob/hipster.png;image/png;1
5;Small Wooden Bike Licensed Wooden Computer Oklahoma;aggregate throughput Practical;94963;S;../fake-data/blob/hipster.png;image/png;5
6;COM Personal Loan Account yellow;Cape Verde;40746;L;../fake-data/blob/hipster.png;image/png;3
7;Rubber CSS;Bike Keyboard Tunnel;46377;M;../fake-data/blob/hipster.png;image/png;5
8;Checking Account methodical optical;Cheese rich multi-byte;80408;M;../fake-data/blob/hipster.png;image/png;4
9;Fantastic;Sleek Soft Sausages Practical;86012;XXL;../fake-data/blob/hipster.png;image/png;4
10;navigate grey Harbors;Automotive Massachusetts Checking Account;6748;S;../fake-data/blob/hipster.png;image/png;0
